Fault: , U3Gate variation fault at 0, ratio parameter: 0.9 1 1, bias parameter: 0 0 0
faulty_matrix, [[-0.95105652+0.j -0.30901699-0.j] [ 0.30901699+0.j -0.95105652+0.j]]
faultfree_matrix, [[-1.0000000e+00+0.j -1.2246468e-16-0.j] [ 1.2246468e-16+0.j -1.0000000e+00+0.j]]
faulty_quantum_state, [ 0.50810036+0.j -0.86129787+0.j]
faultfree_quantum_state, [ 0.89826103+0.j -0.43946231+0.j]
theta, phi, lam, score 
-3.141592653589793, -1.2566370614359172, 2.5132741228718345, 0.3043162172177287
-3.141592653589793, -1.2566370614359172, 2.827433388230814, 0.4288760953463274
-3.141592653589793, -1.2566370614359172, 3.141592653589793, 0.5839070813019228
-3.141592653589793, -0.9424777960769379, -3.141592653589793, 0.46923712839556514
-3.141592653589793, -0.9424777960769379, -2.827433388230814, 0.6058033497063551
-3.141592653589793, -0.9424777960769379, -2.5132741228718345, 0.7521813707113518
-3.141592653589793, -0.9424777960769379, -2.199114857512855, 0.8895364456290309
-3.141592653589793, -0.9424777960769379, -1.8849555921538759, 0.9970275014952377
-3.141592653589793, -0.9424777960769379, -1.5707963267948966, 1.0566721522860278
-3.141592653589793, -0.9424777960769379, -1.2566370614359172, 1.057956564173113
-3.141592653589793, -0.9424777960769379, -0.9424777960769379, 1.0006504666611091
-3.141592653589793, -0.9424777960769379, -0.6283185307179586, 0.8948696250594641
-3.141592653589793, -0.9424777960769379, -0.3141592653589793, 0.7583644063847388
-3.141592653589793, -0.9424777960769379, 0.0, 0.6119573050701355
-3.141592653589793, -0.9424777960769379, 0.3141592653589793, 0.4746550681107515
-3.141592653589793, -0.9424777960769379, 0.6283185307179586, 0.36000233841195983
-3.141592653589793, -0.9424777960769379, 0.9424777960769379, 0.2747158787793065
-3.141592653589793, -0.9424777960769379, 1.2566370614359172, 0.21974832088520826
-3.141592653589793, -0.9424777960769379, 1.5707963267948966, 0.19301985973630026
-3.141592653589793, -0.9424777960769379, 1.8849555921538759, 0.19247146349780897
-3.141592653589793, -0.9424777960769379, 2.199114857512855, 0.21805226970360708
-3.141592653589793, -0.9424777960769379, 2.5132741228718345, 0.27176449602022695
-3.141592653589793, -0.9424777960769379, 2.827433388230814, 0.35574621672284357
-3.141592653589793, -0.9424777960769379, 3.141592653589793, 0.469237128395565
-3.141592653589793, -0.6283185307179586, -3.141592653589793, 0.3871471545304357
-3.141592653589793, -0.6283185307179586, -2.827433388230814, 0.48220947139179127
-3.141592653589793, -0.6283185307179586, -2.5132741228718345, 0.5956751348307555
-3.141592653589793, -0.6283185307179586, -2.199114857512855, 0.7170651724856799
-3.141592653589793, -0.6283185307179586, -1.8849555921538759, 0.8318589752497989
-3.141592653589793, -0.6283185307179586, -1.5707963267948966, 0.9239233426584366
-3.141592653589793, -0.6283185307179586, -1.2566370614359172, 0.9789619649308074
